symbol,exchange,industry
BLK,NYSE,資產管理
BX,NYSE,另類資產管理
KKR,NYSE,另類資產管理
APO,NYSE,另類資產管理
SPGI,NYSE,金融資訊與評等
MCO,NYSE,信用評等
CME,NASDAQ,期貨交易所
ICE,NYSE,交易所與數據
CBOE,CBOE,交易所與數據
CBRE,NYSE,商用不動產服務
ALL,NYSE,產險
PGR,NASDAQ,產險
TRV,NYSE,產險
MET,NYSE,壽險
PRU,NYSE,壽險
AIG,NYSE,保險
LLY,NYSE,製藥
UNH,NYSE,醫療保險與服務
JNJ,NYSE,製藥與醫材
ABBV,NYSE,製藥
MRK,NYSE,製藥
AMGN,NASDAQ,生技製藥
GILD,NASDAQ,生技製藥
BMY,NYSE,製藥
PFE,NYSE,製藥
TMO,NYSE,生命科學儀器
DHR,NYSE,生命科學儀器
ISRG,NASDAQ,手術機器人
MDT,NYSE,醫療器材
SYK,NYSE,醫療器材
BSX,NYSE,醫療器材
EW,NYSE,醫療器材
ZBH,NYSE,醫療器材
REGN,NASDAQ,生技製藥
VRTX,NASDAQ,生技製藥
MRNA,NASDAQ,生技製藥
BIIB,NASDAQ,生技製藥
ILMN,NASDAQ,基因定序
DXCM,NASDAQ,糖尿病醫療器材
IDXX,NASDAQ,動物醫療診斷
CI,NYSE,醫療保險
HUM,NYSE,醫療保險
CVS,NYSE,藥局與醫療服務
ELV,NYSE,醫療保險
HCA,NYSE,醫院
MCK,NYSE,醫藥通路
AMZN,NASDAQ,電商與雲端
TSLA,NASDAQ,電動車
HD,NYSE,居家修繕零售
LOW,NYSE,居家修繕零售
MCD,NYSE,餐飲
SBUX,NASDAQ,餐飲
NKE,NYSE,運動服飾
TGT,NYSE,零售
WMT,NYSE,零售
COST,NASDAQ,會員制零售
KO,NYSE,非酒精飲料
PEP,NASDAQ,食品與飲料
PM,NYSE,菸草
MO,NYSE,菸草
CL,NYSE,民生消費品
PG,NYSE,民生消費品
EL,NYSE,美妝保養
KMB,NASDAQ,民生消費品
GIS,NYSE,食品
KHC,NASDAQ,食品
K,NYSE,食品
DPZ,NASDAQ,餐飲
YUM,NYSE,餐飲
CMG,NYSE,餐飲
MAR,NASDAQ,旅館
HLT,NYSE,旅館
BKNG,NASDAQ,線上旅遊
RCL,NYSE,郵輪
CCL,NYSE,郵輪
GM,NYSE,汽車製造
CAT,NYSE,重型機械
DE,NYSE,農業與工程機械
HON,NASDAQ,航太與工業
GE,NYSE,航太與工業
RTX,NYSE,航太與國防
LMT,NYSE,航太與國防
NOC,NYSE,航太與國防
BA,NYSE,航太與國防
GD,NYSE,航太與國防
LHX,NYSE,航太與國防
UNP,NYSE,鐵路運輸
CSX,NASDAQ,鐵路運輸
NSC,NYSE,鐵路運輸
UPS,NYSE,物流
FDX,NYSE,物流
WM,NYSE,廢棄物管理
RSG,NYSE,廢棄物管理
ETN,NYSE,電力設備
EMR,NYSE,工業自動化
PH,NYSE,工業設備
ROK,NYSE,工業自動化
ITW,NYSE,工業設備
MMM,NYSE,多元工業
CARR,NYSE,空調設備
TT,NYSE,空調設備
XOM,NYSE,石油與天然氣
CVX,NYSE,石油與天然氣
COP,NYSE,石油與天然氣
EOG,NYSE,石油與天然氣
OXY,NYSE,石油與天然氣
SLB,NYSE,油田服務
MPC,NYSE,煉油
VLO,NYSE,煉油
PSX,NYSE,煉油
KMI,NYSE,天然氣管線
WMB,NYSE,天然氣管線
NEE,NYSE,再生能源與電力
DUK,NYSE,電力公用事業
SO,NYSE,電力公用事業
AEP,NASDAQ,電力公用事業
EXC,NASDAQ,電力公用事業
SRE,NYSE,天然氣公用事業
LIN,NASDAQ,工業氣體
APD,NYSE,工業氣體
FCX,NYSE,銅礦
NUE,NYSE,鋼鐵
DIS,NYSE,娛樂媒體
WBD,NASDAQ,娛樂媒體
FOXA,NASDAQ,媒體
TMUS,NASDAQ,電信
VZ,NYSE,電信
T,NYSE,電信
EA,NASDAQ,電子遊戲
TTWO,NASDAQ,電子遊戲
RBLX,NYSE,遊戲平台
PINS,NYSE,社群媒體
SNAP,NYSE,社群媒體
SPOT,NYSE,音樂串流
LYV,NYSE,現場娛樂
CHTR,NASDAQ,有線電視與寬頻
ANET,NYSE,資料中心交換器
APP,NASDAQ,行動廣告平台
CDNS,NASDAQ,IC 設計自動化 EDA
CSCO,NASDAQ,企業網通設備
CTAS,NASDAQ,企業制服與設施服務
CTSH,NASDAQ,IT 顧問與外包服務
FICO,NYSE,信用評分與分析軟體
FI,NYSE,金融支付處理
GDDY,NYSE,網域與雲端代管
HUBS,NYSE,CRM 行銷自動化
IBM,NYSE,企業 AI 與混合雲
JKHY,NASDAQ,銀行核心軟體
KEYS,NYSE,電子測試與量測
MANH,NASDAQ,供應鏈管理軟體
MSTR,NASDAQ,企業分析軟體與比特幣儲備
MSI,NYSE,關鍵通訊與安防設備
NTAP,NASDAQ,企業資料儲存
OKTA,NASDAQ,身分驗證資安
PATH,NYSE,流程自動化 RPA
PTC,NASDAQ,工業軟體與數位孿生
PYPL,NASDAQ,數位支付
QLYS,NASDAQ,雲端資安檢測
RDDT,NYSE,社群平台與廣告
ROP,NASDAQ,垂直應用軟體
S,NYSE,端點資安
SHOP,NYSE,電商 SaaS 平台
SNPS,NASDAQ,IC 設計自動化 EDA
SQ,NYSE,商家支付與金融服務
TEAM,NASDAQ,協作與 DevOps 軟體
TYL,NYSE,政府與公共服務軟體
VEEV,NYSE,生命科學雲端軟體
WDAY,NASDAQ,企業人資與財務雲端
ZM,NASDAQ,企業視訊協作
CRDO,NASDAQ,高速資料中心連接晶片
MTSI,NASDAQ,射頻與光通訊晶片
OLED,NASDAQ,OLED 材料與專利
ENTG,NASDAQ,半導體材料與耗材
MKSI,NASDAQ,半導體製程設備
EPAM,NYSE,數位工程外包
GPN,NYSE,商家支付處理
ACGL,NASDAQ,特種財產保險
AFL,NYSE,補充保險
AIZ,NYSE,保險與道路救援
AJG,NYSE,保險經紀
AON,NYSE,保險經紀與人力顧問
BR,NYSE,投資人溝通與金融科技
BRO,NYSE,保險經紀
CFG,NYSE,區域銀行
CMA,NYSE,區域銀行
FITB,NASDAQ,區域銀行
HBAN,NASDAQ,區域銀行
KEY,NYSE,區域銀行
L,NYSE,人壽保險
MA,NYSE,信用卡支付網路
MMC,NYSE,保險經紀與風險顧問
MTB,NYSE,區域銀行
NDAQ,NASDAQ,交易所與市場資料
NTRS,NASDAQ,託管與資產服務
PFG,NYSE,資產管理與退休金
RJF,NYSE,財富管理券商
RF,NYSE,區域銀行
STT,NYSE,資產託管銀行
SYF,NYSE,消費金融與信用卡
TROW,NASDAQ,主動式資產管理
V,NYSE,信用卡支付網路
ABT,NYSE,醫療診斷與營養品
ALGN,NASDAQ,隱形矯正牙套
BAX,NYSE,醫療輸液與腎臟照護
BDX,NYSE,醫療耗材與診斷
CAH,NYSE,藥品通路
CNC,NYSE,健康保險
COR,NYSE,藥品通路與專科服務
CRL,NYSE,臨床試驗委託服務 CRO
DGX,NYSE,臨床檢驗服務
HIMS,NYSE,遠距醫療與數位健康
HOLX,NASDAQ,女性健康診斷
HSIC,NASDAQ,牙科與醫療通路
INCY,NASDAQ,腫瘤與免疫新藥
IQV,NYSE,臨床試驗委託服務 CRO
LH,NYSE,臨床檢驗服務
MTD,NYSE,精密分析儀器
NBIX,NASDAQ,神經科學新藥
PODD,NASDAQ,胰島素幫浦與糖尿病設備
RMD,NYSE,睡眠呼吸照護設備
RVTY,NYSE,生命科學工具
STE,NYSE,醫療器械消毒服務
UHS,NYSE,醫院與行為健康
WAT,NYSE,液相層析儀器
WST,NYSE,注射劑包材與醫療耗材
XRAY,NASDAQ,牙科設備與影像
AME,NYSE,工業電子與測試設備
APH,NYSE,連接器與線束
AXON,NASDAQ,警用電擊器與數位證據
CMI,NYSE,商用引擎與發電設備
CPRT,NASDAQ,事故車拍賣平台
DCI,NYSE,工業過濾系統
DOV,NYSE,工業零組件與設備
FAST,NASDAQ,工業緊固件通路
GEV,NYSE,燃氣渦輪與電網設備
GWW,NYSE,工業維修耗材通路
HUBB,NYSE,電網與工業電氣設備
IR,NYSE,工業真空與流體設備
JCI,NYSE,樓宇自動化與消防安防
JBHT,NASDAQ,公路貨運與物流
LDOS,NYSE,國防 IT 與系統整合
LII,NYSE,暖通空調設備
MAS,NYSE,衛浴與建材產品
NDSN,NASDAQ,精密點膠與測試設備
ODFL,NASDAQ,零擔貨運 LTL
OTIS,NYSE,電梯與手扶梯服務
PCAR,NASDAQ,重型卡車
PNR,NYSE,水處理與流體設備
PWR,NYSE,電網工程與資料中心建設
ROL,NYSE,害蟲防治服務
SNA,NYSE,專業手工具
SWK,NYSE,工業工具與五金
TDG,NYSE,航太零組件
TEL,NYSE,連接器與感測器
TRMB,NASDAQ,測量定位與工程軟體
URI,NYSE,工程設備租賃
BBY,NYSE,消費電子零售
BURL,NYSE,折扣服飾零售
CAVA,NYSE,地中海餐飲連鎖
CLX,NYSE,居家清潔用品
CPB,NASDAQ,包裝食品
COTY,NYSE,香水與美妝
DKS,NYSE,運動用品零售
EXPE,NASDAQ,線上旅遊平台
HRL,NYSE,肉品與食品加工
KDP,NASDAQ,咖啡與飲料
KR,NYSE,超市零售
LULU,NASDAQ,運動服飾
LVS,NYSE,賭場與會展
MGM,NYSE,賭場與飯店
MKC,NYSE,香料與調味料
MNST,NASDAQ,能量飲料
QSR,NYSE,速食連鎖餐飲
RL,NYSE,精品服飾
ROST,NASDAQ,折扣服飾零售
SJM,NYSE,包裝食品
TAP,NYSE,啤酒與飲料
TJX,NYSE,折扣零售
TPR,NYSE,精品皮件與服飾
TSCO,NASDAQ,農牧與居家用品零售
ULTA,NASDAQ,美妝零售
ALB,NYSE,鋰礦與電池材料
AMT,NYSE,電信基地台 REIT
AVB,NYSE,住宅 REIT
AWK,NYSE,自來水公用事業
BKR,NASDAQ,油田設備與服務
CEG,NASDAQ,核能與再生能源發電
CF,NYSE,氮肥與農業化學
CCI,NYSE,電信基地台 REIT
CNP,NYSE,天然氣與電力公用事業
CTRA,NYSE,天然氣與頁岩油
D,NYSE,電力公用事業
DOW,NYSE,基礎化學材料
DTE,NYSE,電力與天然氣公用事業
DVN,NYSE,頁岩油氣開採
ECL,NYSE,水處理與清潔化學
ED,NYSE,電力公用事業
EIX,NYSE,電力公用事業
EMN,NYSE,特用化學材料
EQIX,NASDAQ,資料中心 REIT
EQR,NYSE,住宅 REIT
ES,NYSE,新英格蘭電力公用事業
ESS,NYSE,住宅 REIT
ET,NYSE,天然氣管線
EVRG,NASDAQ,電力公用事業
EXR,NYSE,自助倉儲 REIT
FANG,NASDAQ,頁岩油氣開採
FE,NYSE,電力公用事業
FRT,NYSE,零售商場 REIT
HAL,NYSE,油田設備與服務
HST,NASDAQ,飯店 REIT
INVH,NYSE,單戶住宅 REIT
IP,NYSE,包裝紙材
IRM,NYSE,資訊儲存與資料中心 REIT
KIM,NYSE,零售商場 REIT
LNT,NASDAQ,電力公用事業
LYB,NYSE,石化與塑料材料
MAA,NYSE,住宅 REIT
MOS,NYSE,鉀肥與磷肥
NEM,NYSE,金礦開採
NRG,NYSE,獨立發電商
OKE,NYSE,天然氣中游管線
PAA,NYSE,原油管線與儲運
PCG,NYSE,電力與天然氣公用事業
PEG,NYSE,電力與天然氣公用事業
PLD,NYSE,物流倉儲 REIT
PPL,NYSE,電力公用事業
PSA,NYSE,自助倉儲 REIT
SHW,NYSE,塗料與建材化學
STLD,NASDAQ,鋼鐵與金屬加工
TRGP,NYSE,天然氣中游管線
VICI,NYSE,賭場不動產 REIT
VMC,NYSE,骨材與水泥建材
WEC,NYSE,電力與天然氣公用事業
WELL,NYSE,醫療照護 REIT
XEL,NASDAQ,電力公用事業
MUSA,NYSE,成品油零售與煉油
LNG,NASDAQ,LNG 液化天然氣出口
AR,NYSE,阿帕拉契天然氣開採
SM,NYSE,二疊紀盆地油氣開採
RRC,NYSE,阿帕拉契天然氣開採
CNX,NYSE,阿帕拉契天然氣開採
AM,NYSE,天然氣中游管線
ENLC,NYSE,天然氣中游管線
CHRD,NASDAQ,二疊紀盆地油氣開採
PR,NYSE,頁岩油氣開採
AES,NYSE,再生能源與電力公用事業
NI,NYSE,電力與天然氣公用事業
ATO,NYSE,天然氣公用事業
UGI,NYSE,丙烷與天然氣公用事業
CMS,NYSE,電力與天然氣公用事業
TTEK,NASDAQ,水資源與環境工程
J,NYSE,基礎建設工程顧問
EME,NYSE,電氣工程與資料中心建置
MTZ,NYSE,特種工程與基礎建設
FLR,NYSE,能源與工業工程
KBR,NYSE,政府科技與工程服務
PPG,NYSE,工業塗料與特殊化學
CLF,NYSE,鐵礦與扁平鋼材
AA,NYSE,鋁業與氧化鋁
X,NYSE,鋼鐵製造
RS,NYSE,金屬服務與加工
CMC,NYSE,建築鋼材與鋼筋
ATI,NYSE,航太與高性能合金
HWM,NYSE,航太引擎與精密零組件
BWXT,NYSE,核能設備與反應爐零件
CW,NYSE,航太致動器與工業零組件
HEI,NYSE,航太電子與國防零組件
SAIC,NASDAQ,國防 IT 與系統整合
RKLB,NASDAQ,太空發射與衛星系統
KTOS,NASDAQ,國防無人機與微波系統
ACHR,NYSE,eVTOL 電動垂直起降飛行器
JOBY,NYSE,eVTOL 電動垂直起降飛行器
BLDE,NASDAQ,直升機與空中叫車服務
VST,NYSE,獨立發電與電力零售
TLN,NASDAQ,核能發電
OKLO,NYSE,先進核能反應爐
LEU,NYSE,濃縮鈾與核燃料
CCJ,NYSE,鈾礦開採
UEC,AMEX,鈾礦開採
UUUU,AMEX,鈾礦與稀土材料
MP,NYSE,稀土礦與磁材
SQM,NYSE,鋰化學品與肥料
FSLR,NASDAQ,薄膜太陽能模組
ENPH,NASDAQ,太陽能微型逆變器
SEDG,NASDAQ,太陽能逆變器與儲能
RUN,NASDAQ,住宅太陽能服務
NOVA,NYSE,住宅太陽能融資
ARRY,NASDAQ,太陽能追日系統
NXT,NASDAQ,太陽能追日系統
BE,NYSE,燃料電池與分散式發電
PDD,NASDAQ,中國電商平台
JD,NASDAQ,中國電商與物流
BIDU,NASDAQ,中國搜尋與雲端 AI
NTES,NASDAQ,中國線上遊戲
BABA,NYSE,中國電商與雲端
TME,NYSE,中國線上音樂
YUMC,NYSE,中國連鎖餐飲
NIO,NYSE,中國電動車
LI,NASDAQ,中國智慧電動車
XPEV,NYSE,中國智慧電動車
FUTU,NASDAQ,數位券商與財富管理
BEKE,NYSE,房產交易科技平台
SEA,NYSE,東南亞電商與遊戲
MELI,NASDAQ,拉丁美洲電商與金融科技
NU,NYSE,數位銀行與消費金融
HOOD,NASDAQ,零售券商與加密交易
COIN,NASDAQ,加密資產交易所
SOFI,NASDAQ,數位銀行與消費貸款
AFRM,NASDAQ,先買後付與消費金融
UPST,NASDAQ,AI 消費信貸平台
FIS,NYSE,銀行核心系統與支付
FOUR,NYSE,商戶支付處理
TOST,NYSE,餐飲支付與營運 SaaS
XYZ,NYSE,商家支付與金融服務
TTD,NASDAQ,程式化廣告平台
YELP,NYSE,在地商家評論與廣告
MTCH,NASDAQ,線上交友平台
BMBL,NASDAQ,線上交友平台
AUR,NASDAQ,自動駕駛貨運
RIVN,NASDAQ,電動車與商用電動車
LCID,NASDAQ,高階電動車
F,NYSE,汽車製造與商用車
STLA,NYSE,全球汽車製造
TM,NYSE,日本汽車製造 ADR
HMC,NYSE,日本汽車製造 ADR
APTV,NYSE,汽車電子與先進駕駛系統
BWA,NYSE,汽車動力與熱管理零組件
CHRW,NASDAQ,貨運承攬與物流
KNX,NYSE,長途卡車運輸
XPO,NYSE,LTL 零擔貨運與物流
SAIA,NASDAQ,LTL 零擔貨運
ARCB,NASDAQ,LTL 零擔貨運
WERN,NASDAQ,長途卡車運輸
WAB,NYSE,鐵路設備與運輸科技
OSK,NYSE,特種車輛與國防卡車
